artist_id,artist_name,popularity
4010,chris rea,0.61
496781,michael mind project,0.51
3497396,кира кириллица,0.3
243781,the jim jones revue,0.5
506272,white apple tree,0.46
1363927,carter u s m,0.46
27662,the be good tanyas,0.49
236225,icarly,0.38
131458,john smith,0.47
1199439,supercombo,0.46
177672,sonora carruseles,0.47
2160485,brawlers,0.51
390,pet shop boys,0.67
10170,black grape,0.51
1734,david benoit,0.51
2447539,pusho,0.36
3354759,vergílio pereira,0.29
1272360,adrian von ziegler,0.49
127383,kollektiv turmstrasse,0.49
2464918,elliphant feat skrillex,0.32
2781600,muna,0.52
85637,sixx a m,0.57
259579,canyons,0.46
6670,cajsa stina åkerström,0.48
3162,bonnie tyler,0.63
2964,kathleen battle,0.49
160045,france gall,0.51
4897,mark schultz,0.53
3418256,herbert von karajan with the philharmonia orchestra,0.29
3505,pino daniele,0.55
2674188,shoffy,0.49
193611,jeff dunham,0.5
2622,david campbell,0.51
444397,georgia fair,0.48
3301,sonny rollins,0.52
2002875,set mo,0.55
1968952,tech n9ne feat scoop deville,0.47
14252,franck pourcel,0.51
70245,roomful of blues,0.46
52118,train,0.72
2637756,grimes x bleachers,0.3
3453415,big band jazz greats,0.31
933410,nova y jory,0.44
1946882,j cole feat miguel,0.53
600,goldie lookin chain,0.55
151384,bingo players,0.59
466162,stromae,0.64
396071,los incomparables de tijuana,0.47
1170328,blake mills,0.5
25089,balkan beat box,0.5
1047196,jess moskaluke,0.52
2955783,kllo,0.49
266505,gloriana,0.54
10152,jerry butler,0.51
2094601,durwood black,0.46
425067,maia hirasawa,0.46
834902,anna calvi,0.51
937732,virtual riot,0.5
2148214,runaground,0.46
1634,the four aces,0.51
936733,the cover girl,0.47
1008326,massed bands of hm royal marines,0.45
316900,jean ferrat,0.52
3846,michael mittermeier,0.51
66442,fernando rocha,0.51
2257845,kailash hare krishna das,0.52
990812,wax idols,0.46
919273,suresh peters,0.46
394433,chuck wood,0.48
21204,phyllis nelson,0.52
262294,nicky romero,0.55
84886,element of crime,0.48
313205,miike snow,0.63
248702,i set my friends on fire,0.46
3629,petey pablo,0.52
237664,paco ibañez,0.46
170738,gioacchino rossini,0.48
101125,the low frequency in stereo,0.46
5702,mister chivo,0.46
271847,lower than atlantis,0.53
1346621,90 's groove masters,0.52
501340,simon standage,0.5
1090232,brantley gilbert colt ford,0.47
2802199,gucci mane peewee longway young dolph,0.49
8863,yandel,0.55
2111279,thug entrancer,0.46
1280920,tonight 's gonna be a good night,0.46
2017801,twoloud,0.48
2593655,kelly clarkson feat john legend,0.29
2892443,ten fé,0.31
5670,toño rosario,0.47
154937,liquid gold,0.47
612277,rekha bhardwaj,0.49
1470454,pitbull feat tjr,0.34
1105632,game of thrones orchestra,0.51
1565,isaac hayes,0.58
3390637,c gumbs,0.3
257703,joris delacroix,0.46
176159,pitingo,0.46
854815,huxley,0.48
102437,dire straits mark knopfler,0.38
39050,tobymac,0.69
54586,threat signal,0.46
376275,godspeed you black emperor,0.46
1280,t i,0.75
357514,michael lington,0.48
