track_id,artist_id,title,popularity,album_id
44553622,272425,all i want album version,0.37,4341864
44553631,272425,looks like rain album version,0.36,4341864
3938491,272425,sleepyhead,0.37,352369
59061841,272425,where the sky hangs album version,0.37,5918537
19588676,272425,it 's not my fault i'm happy album version,0.37,1805929
19588662,272425,carried away album version,0.39,1805929
19588664,272425,constant conversations,0.36,1805929
19588668,272425,cry like a ghost album version,0.36,1805929
19588658,272425,take a walk,0.4,1805929
19588660,272425,i'll be alright album version,0.36,1805929
41359687,1441691,she looks so perfect,0.36,3988885
41359230,1441691,what i like about you,0.38,3988850
47939210,1441691,jet black heart,0.36,4720678
46910728,1441691,she 's kinda hot,0.43,4604817
38096085,1441691,18,0.36,3635404
38096080,1441691,she looks so perfect,0.38,3635404
38096081,1441691,don't stop,0.39,3635404
38096082,1441691,good girls,0.39,3635404
38096091,1441691,heartbreak girl,0.37,3635404
38096094,1441691,amnesia,0.36,3635404
38096098,1441691,voodoo doll,0.37,3635404
38096097,1441691,never be,0.37,3635404
38096095,1441691,social casualty,0.36,3635404
40985188,1441691,good girls,0.37,3950604
38096068,1441691,don't stop,0.38,3635402
38096067,1441691,she looks so perfect,0.42,3635402
38096070,1441691,kiss me kiss me,0.37,3635402
38096069,1441691,good girls,0.37,3635402
38096076,1441691,heartbreak girl,0.36,3635402
38096075,1441691,long way home,0.37,3635402
38096078,1441691,amnesia,0.42,3635402
38096077,1441691,mrs all american,0.37,3635402
38096072,1441691,everything i didn't say,0.38,3635402
38096071,1441691,18,0.37,3635402
38096074,1441691,end up here,0.36,3635402
38096073,1441691,beside you,0.38,3635402
59342757,1441691,wherever you are,0.41,5951649
49413103,1441691,outer space carry on,0.37,4871790
49412899,1441691,broken home,0.39,4871790
49412870,1441691,the girl who cried wolf,0.38,4871790
49412920,1441691,invisible,0.38,4871790
49412911,1441691,fly away,0.38,4871790
49412936,1441691,airplanes,0.37,4871790
49412974,1441691,san francisco,0.37,4871790
49412788,1441691,waste the night,0.39,4871790
49412770,1441691,safety pin,0.39,4871790
49412838,1441691,castaway,0.39,4871790
49412806,1441691,vapor,0.39,4871790
49412614,1441691,money,0.39,4871790
49412695,1441691,hey everybody,0.42,4871790
49412626,1441691,she 's kinda hot,0.41,4871790
49412749,1441691,catch fire,0.39,4871790
49412707,1441691,permanent vacation,0.39,4871790
49412728,1441691,jet black heart,0.42,4871790
39129940,1441691,amnesia,0.39,3754273
49089631,1441691,hey everybody,0.37,4842304
56701063,1441691,girls talk boys stafford brothers remix,0.36,5639374
21902572,1442056,whistle dixie,0.36,2024465
21902570,1442056,funky shit,0.36,2024465
21902575,1442056,director 's cut michael myers superman,0.37,2024465
52656972,1442056,out of control,0.36,5172247
21959370,1442340,live like you were dying,0.37,2025161
21959320,1442340,blown away,0.37,2025161
21959321,1442340,somethin bout a truck,0.36,2025161
21959325,1442340,5-1-5-0,0.36,2025161
21959322,1442340,dirt road anthem,0.36,2025161
21959328,1442340,crazy girl,0.36,2025161
21959326,1442340,country girl shake it for me,0.37,2025161
21959332,1442340,tomorrow,0.36,2025161
21959333,1442340,chicken fried,0.36,2025161
21959331,1442340,stuck like glue,0.36,2025161
21959335,1442340,you and tequila,0.37,2025161
21959334,1442340,love like crazy,0.36,2025161
21959337,1442340,the one that got away,0.36,2025161
